gene,ensembl,gene_id,uniprot,e3_type,protein_class,mean_ntpm,max_ntpm,max_cell,max_lineage,log2_fc_vs_rest,tau,sd_log2,enrichment_score
G2E3,ENSG00000092140,55632,Q7L622,HECT,"RING, HECT",44.07,63.6,Memory CD4 T-cell Th1/Th17,T-cells,0.5504,0.3177,0.3999,1.0514
BTBD18,ENSG00000233436,643376,B2RXH4,CRL3,CRL3 substrate receptor (BTB protein),1.0733,2.3,plasmacytoid DC,dendritic cells,1.0854,0.5517,0.9005,1.0315
KLHDC3,ENSG00000124702,116138,Q9BQ90,CRL2,"CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)",153.2967,210.4,myeloid DC,dendritic cells,0.4752,0.2808,0.2995,1.0305
PRPF19,ENSG00000110107,27339,Q9UMS4,degenerate RING,Degenerate RING (U-box),7.06,11.4,naive CD4 T-cell,T-cells,0.7141,0.3938,1.0258,1.0215
MUL1,ENSG00000090432,79594,Q969V5,RING,RING,56.4333,80.1,Plasmablast,B-cells,0.5255,0.3057,0.2437,1.0186
NCCRP1,ENSG00000188505,342897,Q6ZVX7,CRL1,CRL1 substrate receptor (F-box protein),1.6367,3.2,neutrophil,granulocytes,0.9716,0.5054,0.3824,1.0167
RNF224,ENSG00000233198,643596,P0DH78,RING,RING,0.0267,0.4,Plasmablast,B-cells,2.1355,0.9655,0.5398,1.0009
DCAF11,ENSG00000100897,80344,Q8TEB1,CRL4,CRL4 substrate receptor (DDB1-binding protein),44.1467,63.0,neutrophil,granulocytes,0.5334,0.3096,0.2601,0.9908
SOCS7,ENSG00000274211,30837,O14512,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),3.0867,5.4,MAIT T-cell,T-cells,0.824,0.4432,0.8315,0.9779
BTBD6,ENSG00000184887,90135,Q96KE9,CRL3,CRL3 substrate receptor (BTB protein),2.6933,4.8,Effector memory CD8 T-cell,T-cells,0.8488,0.454,0.6798,0.9773
NSMCE2,ENSG00000156831,286053,Q96MF7,degenerate RING,"Degenerate RING (SP-RING), SUMO E3",36.77,52.7,classical monocyte,monocytes,0.5397,0.3127,0.347,0.9699
RNF151,ENSG00000179580,146310,Q2KHN1,RING,RING,0.0767,0.5,Terminal effector memory CD4 T-cell,T-cells,1.8884,0.8759,0.823,0.9675
LONRF2,ENSG00000170500,164832,Q1L5Z9,RING,RING,0.23,0.8,Memory CD4 T-cell Th17,T-cells,1.5361,0.7371,0.6376,0.9601
WDR48,ENSG00000114742,57599,Q8TAF3,CRL4,CRL4 substrate receptor (DDB1-binding protein),63.7567,89.1,Progenitor cell,Progenitors,0.5021,0.2942,0.2244,0.9593
TRIM41,ENSG00000146063,90933,Q8WV44,RING,RING,3.3733,5.8,Non-Vd2 gdTCR,T-cells,0.7996,0.4328,0.4872,0.9571
KLHL35,ENSG00000149243,283212,Q6PF15,CRL3,CRL3 substrate receptor (BTB protein),0.08,0.5,total PBMC,total PBMC,1.858,0.869,0.779,0.9444
RAG1,ENSG00000166349,5896,P15918,RING,RING,0.13,0.6,Exhausted memory B-cell,B-cells,1.7111,0.8103,0.9913,0.9402
RNF123,ENSG00000164068,63891,Q5XPI4,RING,RING,26.68,38.5,plasmacytoid DC,dendritic cells,0.5496,0.3176,0.2225,0.9257
FBXL4,ENSG00000112234,26235,Q9UKA2,CRL1,CRL1 substrate receptor (F-box protein),28.5167,40.8,basophil,granulocytes,0.5368,0.3114,0.356,0.9003
TRAF7,ENSG00000131653,84231,Q6Q0C0,RING,RING,14.8433,22.0,non-classical monocyte,monocytes,0.5886,0.3365,0.3075,0.896
TRIM10,ENSG00000204613,10107,Q9UDY6,RING,RING,0.04,0.4,naive B-cell,B-cells,1.9705,0.931,0.6592,0.8905
DCAF17,ENSG00000115827,80067,Q5H9S7,CRL4,CRL4 substrate receptor (DDB1-binding protein),13.83,20.5,naive CD4 T-cell,T-cells,0.5885,0.3366,0.694,0.8767
RC3H2,ENSG00000056586,54542,Q9HBD1,RING,RING,61.4767,84.6,Terminal effector memory CD4 T-cell,T-cells,0.4788,0.2828,0.3146,0.869
KBTBD4,ENSG00000123444,55709,Q9NVX7,CRL3,CRL3 substrate receptor (BTB protein),27.64,39.3,Memory CD4 T-cell Th1/Th17,T-cells,0.5273,0.3069,0.4336,0.863
CIAO1,ENSG00000144021,9391,O76071,CRL4,CRL4 substrate receptor (DDB1-binding protein),53.2533,73.5,NK-cell,NK-cells,0.4831,0.285,0.1991,0.8562
ATG12,ENSG00000145782,9140,O94817,atypical,"Atypical E3 (catalytic site formed from multiple interfaces), Ubl E3",70.2033,95.9,neutrophil,granulocytes,0.4677,0.2772,0.2956,0.8555
SPSB3,ENSG00000162032,90864,Q6PJ21,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),67.99,92.6,Terminal effector memory CD4 T-cell,T-cells,0.4632,0.2749,0.3341,0.834
PCGF1,ENSG00000115289,84759,Q9BSM1,RING,RING,12.0933,17.9,classical monocyte,monocytes,0.5858,0.3356,0.6276,0.8336
UBE4A,ENSG00000110344,9354,Q14139,degenerate RING,Degenerate RING (U-box),79.4633,107.6,neutrophil,granulocytes,0.4545,0.2705,0.2204,0.8316
TRIM37,ENSG00000108395,4591,O94972,RING,RING,17.92,25.8,basophil,granulocytes,0.5453,0.316,0.4586,0.8173
ASB16,ENSG00000161664,92591,Q96NS5,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),10.4867,15.6,neutrophil,granulocytes,0.5927,0.3391,0.3465,0.8146
FBXL17,ENSG00000145743,64839,Q9UF56,CRL1,CRL1 substrate receptor (F-box protein),4.5167,7.2,NK-cell,NK-cells,0.6903,0.3855,0.4403,0.8078
RNF4,ENSG00000063978,6047,P78317,RING,RING,172.41,225.8,Effector memory CD8 T-cell,T-cells,0.4045,0.2446,0.3098,0.7742
